ID-Global;ID;Article_Number;Article_Name;Summary_Consistency;Article_Olaf_Scholz;Article_SPD;Article_Robert_Habeck;Article_die_Gruenen;Article_Christian_Lindner;Article_FDP;Article_the_coalition_breakdown;Summary_Olaf_Scholz;Summary_SPD;Summary_Robert_Habeck;Summary_die_Gruenen;Summary_Christian_Lindner;Summary_FDP;Summary_the_coalition_breakdown;Comparison_Olaf_Scholz;Comparison_SPD;Comparison_Robert_Habeck;Comparison_die_Gruenen;Comparison_Christian_Lindner;Comparison_FDP;Comparison_the_coalition_breakdown
12;13;15;"Ralf Schumacher: ""Jetzt geht es wieder bergauf!"" Schumi-Bruder jubelt über Ampel-Aus";1;-1;-1;;;-1;-1;-1;-1;-1;;;-1;-1;-1;1;1;0;0;1;1;1
13;14;16;Sorge um Deutschlandticket nach Ampel-Aus;1;;;;0;;;-1;;;;;;;-1;0;0;0;0;0;0;1
14;15;17;Ampel-Aus trifft die Baubranche hart;1;;;;;;;;;;;;;;-1;0;0;0;0;0;0;-1
15;16;18;Drehbuch zum Ampel-Aus;1;0;0;;0;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;1;1;1;1
16;17;19;Kommentar : Ampel-Aus könnte Auswirkungen auf Wiesbaden haben;1;-1;0;;0;-1;-1;-1;-1;;;;-1;-1;-1;1;0;0;0;1;1;1
17;18;20;Nach dem Ampel-Aus: Das sind die neuen Minister - wer jetzt für die FDP übernimmt;1;-1;-1;0;0;-1;-1;-1;0;;;;;;;-1;0;0;0;0;0;0
18;19;21;Kommentar : Das Gewalthilfegesetz darf am Ampel-Aus nicht scheitern;1;;;;;-1;-1;-1;;;;;-1;-1;-1;0;0;0;0;1;1;1
19;20;22;Landtagsfraktionen äußern sich zum Ampel-Aus;1;1;1;;0;-1;-1;-1;1;;;;;;;1;0;0;0;0;0;0
20;21;23;Ampel aus, Wahlkampfmodus an;1;1;1;;;-1;-1;-1;1;1;;;-1;0;-1;1;1;0;0;1;-1;1
21;22;24;Robert Habeck zum Ampel-Aus;1;0;;;;;;;;;1;1;;;0;0;0;-1;-1;0;0;-1
22;23;25;Politisierung nach dem Ampel-Aus?;1;;;;;;;;;;;;;;;0;0;0;0;0;0;0
23;24;26;FDP-Pläne fürs Ampel-Aus;1;-1;0;-1;0;-1;-1;0;-1;0;;;-1;-1;-1;1;1;0;0;1;1;-1
24;25;27;In Deutschland ist die Ampel aus;1;1;1;;;-1;-1;-1;1;1;;;-1;-1;-1;1;1;0;0;1;1;1
25;26;28;Das Ampel-Aus ist eine Chance für Sachsen;1;-1;-1;0;0;-1;-1;1;;;;;;;;0;0;0;0;0;0;0
26;27;29;"Unsicherheit Gift für Wirtschaft; Analyse Ökonomen warnen nach Ampel-Aus vor neuer Rezession";1;;-1;;;;;-1;;;;;;;;0;0;0;0;0;0;0
27;28;30;"Das Ampel-Aus-Papier;  Beginn der offenen Feldschlacht!";1;-1;-1;0;0;-1;-1;-1;;;;;;;;0;0;0;0;0;0;0
28;29;31;Plante FDP Ampel-Aus nach Drehbuch?;1;-1;-1;;;0;-1;;-1;-1;;;-1;-1;-1;1;1;0;0;-1;1;-1
29;30;33;Blamage nach Ampel-Aus: Keine schnelle Neuwahl möglich? Angeblicher Papiermangel sorgt für Gelächter;1;-1;;;;-1;-1;-1;0;;;;;;;-1;0;0;0;0;0;0
30;31;49;Ampel-Aus mit Ansage;1;-1;-1;-1;-1;1;1;-1;;;;;;;;0;0;0;0;0;0;0
31;32;50;Annalena Baerbock: Nach dem Ampel-Aus hilft der Außenministerin nur noch eines;1;-1;;;;-1;-1;-1;-1;;;;-1;-1;-1;1;0;0;0;1;1;1
32;33;52;Sahra Wagenknecht News: Ampel-Aus: Wagenknecht für Beförderungsstopp in Ministerien;1;-1;-1;;-1;;-1;-1;;;;;;;-1;0;0;0;0;0;0;1
33;34;53;Was die Fraktionen über das Ampel-Aus denken;1;1;1;;;-1;-1;-1;1;1;;;-1;-1;-1;1;1;0;0;1;1;1
34;35;54;"Olaf Scholz: Kanzler nach Ampel-Aus ""stärker denn je"" - Applaus für neue Videobotschaft";1;-1;0;;;-1;-1;-1;1;0;;;-1;-1;-1;-1;1;0;0;1;1;1
35;36;55;„Hat nichts mit Ampel-Aus zu tun“;1;;;;0;;;;;0;;;;;;0;-1;0;0;0;0;0
36;37;56;"Bürger verunsichert und geschockt; Ampel-Aus und Trump-Sieg sorgen für aufgewühlte Reaktionen in Rheinhessen und an der Nahe";1;-1;0;;;-1;-1;-1;0;;;;;;;-1;0;0;0;0;0;0
37;38;57;",,Neuwahlen schon früher!""; Umfrage Es herrscht Erleichterung über das Ampel-Aus.";1;-1;;;;-1;-1;-1;0;;;;;;;-1;0;0;0;0;0;0
38;39;59;"Frustration nach Ampel-Aus; Politik SPD-Abgeordnete Möller sieht auch gute Ergebnisse   Janssen übt Kritik";1;-1;-1;;;-1;-1;-1;-1;-1;;;;-1;-1;1;1;0;0;0;1;1
39;40;60;"Das Ampel-Aus ist gefährlich ; Interview Gesundheitsminister Lauterbach zu Folgen für Patienten und Reformen";1;;;;;-1;-1;-1;;;;;-1;-1;-1;0;0;0;0;1;1;1
40;41;61;Sonntagsfrage nach Ampel-Aus: Scholz-Partei abgestürzt - so könnte die neue Bundesregierung aussehen;1;-1;-1;0;0;-1;-1;-1;-1;-1;;-1;-1;-1;-1;1;1;0;-1;1;1;1
41;42;62;"""Caren Miosga"", ""hart aber fair"" und Co.: Drohen den ARD-Talkshows nach dem Ampel-Aus Programmänderungen?";1;-1;;;;-1;-1;-1;-1;;;;-1;-1;-1;1;0;0;0;1;1;1
42;43;63;Was das Ampel-Aus für die Rente bedeutet;1;;;;;;;;;;;;;;;0;0;0;0;0;0;0
43;44;64;News des Tages heute: Cem Özdemir privat: Grünen-Politiker jetzt Doppel-Minister / Nach dem Ampel-Aus: Wer jetzt für die FDP übernimmt;0;-1;0;;;-1;-1;-1;-1;;;;-1;-1;0;1;0;0;0;1;1;-1
44;45;65;"Flaute treibt Strompreis hoch; Per Gesetz sollten Ersatzkraftwerke gebaut werden. Das Ampel-Aus gefährdet den Plan";1;;;;;;;;;;;;;;;0;0;0;0;0;0;0
45;46;66;"Frustration nach Ampel-Aus; Politik SPD-Abgeordnete Siemtje Möller sieht auch gute Ergebnisse   Anne Janssen übt Kritik";1;-1;-1;;;-1;-1;-1;;;;;;;;0;0;0;0;0;0;0
46;47;67;Ampel-Aus im News-Ticker: Bundeskanzler überraschend verhandlungsbereit bei Termin für Neuwahl;1;1;1;;1;-1;-1;-1;0;;;;;;;-1;0;0;0;0;0;0
47;48;68;"""Unverständlich und widersprüchlich""; FDP-MdB kritisiert Wissing scharf / Ampel-Aus trifft rheinhessische Volksvertreter nicht unerwartet";1;1;1;;0;-1;-1;-1;1;0;;0;-1;-1;-1;1;-1;0;1;1;1;1
48;49;70;"Kanzler stellt Vertrauensfrage; AMPEL-AUS!; Kanzler stellt Vertrauensfrage";1;1;1;1;1;-1;-1;1;0;0;;;-1;-1;-1;-1;-1;0;0;1;1;-1
49;50;71;"Neue Hoffnung für Ermittler; Debatte um Vorratsdatenspeicherung könnte nach Ampel-Aus noch mal Fahrt aufnehmen";1;;;;;;;;;0;;;-1;-1;-1;0;-1;0;0;-1;-1;-1
50;51;82;"Ampel-Aus auch im Ammerland spürbar; Bundespolitik Von Erleichterung bis Enttäuschung   Politiker schätzen Lage ein";1;0;0;;0;-1;-1;-1;-1;0;;0;-1;-1;-1;-1;1;0;1;1;1;1
51;52;84;Zum Ampel-Aus in Deutschland ,,Und am Ende war es Olaf Scholz, der...;1;-1;;-1;0;-1;-1;-1;-1;;;;-1;-1;-1;1;0;0;0;1;1;1
52;53;85;"Besser ein Ende mit Schrecken; Ampel-Aus So reagieren OB Marcus König und andere Politiker auf das Polit-Beben.";1;-1;0;;0;-1;-1;-1;-1;0;;0;-1;-1;-1;1;1;0;1;1;1;1
53;54;87;Baerbock, Habeck, Lindner und Co.: Kein Ruhegehalt für Bundesminister nach Ampel-Aus? So sind die Regeln;1;-1;;;;-1;-1;-1;-1;-1;;;-1;-1;-1;1;-1;0;0;1;1;1
54;55;88;"Olaf Scholz News: Trotz Ampel-Aus: Scholz hält am Ziel eines ""Pakts für Industrie"" fest";1;1;1;;;-1;-1;-1;1;0;;;;;-1;1;-1;0;0;0;0;1
55;56;89;Details zu Ampel-Aus;1;-1;-1;;;-1;-1;-1;-1;-1;;;-1;-1;-1;1;1;0;0;1;1;1
56;57;90;"Die Neuwahl-Verlierer; Die Wirtschaft atmet nach dem Ampel-Aus auf. Doch einige Gesetze bleiben jetzt unverwirklicht. Nicht alle Unternehmen freut das";1;;;;;;;;;;;;;;;0;0;0;0;0;0;0
57;58;91;"Gestatten, Wahlkämpfer Scholz; Deutschland. Nach dem Ampel-Aus war die Regierungserklärung des Kanzlers mit Spannung erwartet worden. Es war ein Vorgeschmack auf die nächsten 100 Tage Wahlkampf";1;0;;;;;;;-1;-1;;;-1;-1;-1;-1;-1;0;0;-1;-1;-1
58;59;92;"Die Neuwahl-Verlierer; Die Wirtschaft atmet nach dem Ampel-Aus auf. Doch einige Gesetze bleiben jetzt unverwirklicht. Nicht alle Unternehmen freut das";1;;;;;;;;;;;;;;;0;0;0;0;0;0;0
59;60;93;"Ampel-Aus bringt Mitgliederschub; Grüne wachsen in diesem Jahr um 100 Neumitglieder, auch andere Darmstädter Parteien legen an Kopfstärke zu";1;-1;0;;1;-1;-1;-1;;;;;;;;0;0;0;0;0;0;0
60;61;99;"»Gift für die Konjunktur«; Die Unsicherheit nach dem Ampel-Aus ist ein weiterer Rückschlag für die Wirtschaft. Manche Ökonomen sehen darin aber auch eine Chance.";1;;;;;;;;;;;;;;;0;0;0;0;0;0;0
61;62;100;Das Ampel-Aus;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;1;1;-1;-1;1;1;1
62;63;101;",,Reformen werden Leben retten""; Der Bundesgesundheitsminister über die Folgen des Ampel-Aus für seine Gesetzesvorhaben";1;1;1;;;-1;-1;-1;1;1;;;-1;-1;-1;1;1;0;0;1;1;1
63;64;102;"Nach dem Aus der Ampel-Koalition; DAS AMPEL-AUS UND IHR GELD; WER PROFITIERT UND WER ZAHLT JETZT DRAUF?";1;1;1;1;1;-1;-1;-1;;;;;;;-1;0;0;0;0;0;0;1
64;65;103;"Die Terminpläne der Parteien nach dem Ampel-Aus; Neuwahlen: So ist die Politik im Rhein-Kreis vorbereitet.";1;;-1;;1;;;-1;;-1;;1;;1;-1;0;1;0;1;0;-1;1
65;66;104;"So denkt das Ausland über das Ampel-Aus; Deutsche Regierungskrise stößt auf Verwunderung   und Schadenfreude";1;-1;-1;;;;;-1;;;;;;;;0;0;0;0;0;0;0
66;67;105;Ortsumgehung wegen »Ampel«-Aus unsicher;0;;;;;;;0;;;;;;;-1;0;0;0;0;0;0;-1
67;68;106;"German word of the year is politics: ""Ampel-Aus""";1;0;0;0;0;0;-1;-1;0;-1;0;0;-1;-1;-1;1;-1;1;1;-1;1;1
68;69;107;Trump-Wahl, Ampel-Aus Kann das sogar gut für mein Geld sein?;1;;;;;;;;;;;;;;0;0;0;0;0;0;0;-1
69;70;108;Ringen nach dem Ampel-Aus;1;;0;;;;;-1;;;;;;;;0;0;0;0;0;0;0
70;71;109;"So geht es weiter nach dem Ampel-Aus; Die Koalition aus SPD, Grünen und FDP ist geplatzt. Was passiert bis zu den Neuwahlen, und wie funktioniert die Vertrauensfrage?";1;1;1;;1;-1;-1;-1;1;;;;;;;1;0;0;0;0;0;0
71;72;110;"Ampel-Aus beschert Parteien mehr Mitglieder; Seit dem Ende der Koalition sind bei den Grünen bundesweit 11.000 Mitgliedsanträge eingegangen / Ein Blick in die rheinland-pfälzischen Landesverbände";1;;;;;;;;;0;;1;-1;-1;;0;-1;0;-1;-1;-1;0
72;73;111;"Noch etwas zu entscheiden; Eigentlich hat das Ampel-Aus diverse Gesetzesvorhaben beerdigt. Doch kontroverse Themen wie Organspende und Schwangerschaftsabbruch stehen noch auf der Tagesordnung.";1;;;;;;;;;-1;;;-1;-1;-1;0;-1;0;0;-1;-1;-1
73;74;116;"Lauterbachs Reformen platzen; Gesundheit Apotheken, Pflege, Hausärzte: Das Ampel-Aus bedeutet auch das Ende für viele geplante Gesetze des Ministers.";1;;-1;;-1;0;-1;-1;;-1;;;-1;-1;-1;0;1;0;0;-1;1;1
74;75;118;Der Song zum Ampel-Aus;1;-1;;;;-1;-1;-1;;;;;1;1;-1;0;0;0;0;-1;-1;1
75;76;120;Ampel-Aus scheint Scholz zu beflügeln;1;-1;-1;;;0;0;-1;1;-1;;;;;-1;-1;1;0;0;0;0;1
76;77;122;"Mehrheit für Rot-Grün in Hamburg; Hamburg wählt am 2. März eine neue Bürgerschaft. Aktuell haben SPD und Grüne die Mehrheit. Ampel-Aus ohne Folgen";1;;1;;1;;;;;1;;0;;;-1;0;1;0;-1;0;0;-1
77;78;123;"So reagiert die Politik in Dormagen auf das Ampel-Aus; Bürgermeister Erik Lierenfeld (SPD) unterstützt die Entscheidung von Bundeskanzler Olaf Scholz, die FDP sieht darin den Beginn einer Phase der Unsicherheit.";1;1;1;;;-1;-1;-1;1;1;;0;-1;-1;-1;1;1;0;-1;1;1;1
78;79;124;Negative Folgen durch Ampel-Aus befürchtet;1;;0;;0;;0;-1;;;;;;;-1;0;0;0;0;0;0;1
79;80;125;"Heftige Vorwürfe zum Wahlkampfstart; Wer der einstigen Partner provozierte das Ampel-Aus? SPD, Grüne und FDP ringen um Deutungshoheit";1;0;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
80;81;126;Ampel-Aus, Streit und Neuwahlen;1;-1;-1;0;1;0;0;0;0;;;;;;;-1;0;0;0;0;0;0
81;82;128;FDP-Pläne zum Ampel-Aus;1;-1;0;-1;0;-1;-1;-1;-1;-1;0;0;-1;-1;-1;1;-1;-1;1;1;1;1
82;83;137;"Schrieb die FDP ein  Drehbuch  für den Regierungssturz?; Ampel-Aus Einstige Koalitionspartner gehen mit harten Schuldzuweisungen in den Bundestagswahlkampf";1;0;0;;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1
83;84;150;"Wer die Schuld am Ampel-Aus trägt; Koalitionsbruch Das sagen Abgeordnete des Wahlkreises Delmenhorst, Wesermarsch, Oldenburg-Land";1;-1;-1;;1;-1;-1;-1;-1;-1;0;1;-1;-1;-1;1;1;-1;1;1;1;1
84;85;152;"Auf einmal nur noch Parteichef; Analyse Christian Lindner nach dem Ampel-Aus   Getroffen, aber kämpferisch";1;-1;-1;;;0;0;-1;-1;;;;1;1;;1;0;0;0;-1;-1;0
85;86;153;"Der geplante Rauswurf; FDP soll Ampel-Aus lange vorbereitet haben. SPD debattiert über Kanzlerkandidaten";1;1;0;;;-1;-1;-1;1;0;;;-1;-1;-1;1;1;0;0;1;1;1
86;87;154;FDP plante Ampel-Aus vor Wochen;1;-1;-1;;0;-1;-1;-1;-1;-1;;-1;-1;-1;-1;1;1;0;-1;1;1;1
87;88;155;"Ampel-Aus: Befreiung oder vertane Chance?; Das sagen die Kreisvorsitzenden Petra Wulff-Werner (Grüne), Fritz Schreder (SDP) und Janos Metz (FDP)";1;0;0;;0;-1;-1;-1;;;;;;;;0;0;0;0;0;0;0
88;89;156;Schlammschlacht nach dem Ampel-Aus;1;-1;;;;;;;1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
89;90;157;Bundestag beschließt erstes Gesetz seit Ampel-Aus;1;;0;;0;0;0;;;;;;;;;0;0;0;0;0;0;0
90;91;159;"Schlagabtausch zwischen Scholz und Merz im Bundestag; Regierungserklärung Der CDU-Chef wirft dem Kanzler Führungslosigkeit vor. Dieser wiederum verteidigt das Ampel-Aus und drängt auf gemeinsame Gesetzesbeschlüsse.";1;-1;0;;0;-1;-1;-1;-1;;;;-1;-1;-1;1;0;0;0;1;1;1
91;92;160;"Die Planungen sind Spitz auf Knopf ; Wahlen Varel, Zetel und Bockhorn bereiten sich nach Ampel-Aus auf Bundestagswahl im Februar vor";1;;;;;;;;;;;;;;;0;0;0;0;0;0;0
92;93;161;Nach Ampel-Aus neue Debatte um Deutschlandticket;1;;;;;;;;;;;;;;;0;0;0;0;0;0;0
93;94;163;"Wer die Schuld fürs Ampel-Aus trägt; Koalitionsbruch Wahlkreis Delmenhorst, Wesermarsch, Oldenburg-Land   Das sagen örtliche Abgeordnete";1;-1;-1;;1;-1;-1;-1;-1;-1;;1;-1;-1;-1;1;1;0;1;1;1;1
94;95;166;"Ampel-Aus: Zwischen Wut und Trauer; Ministerpräsidenten und Parteispitzen aus Rheinland-Pfalz und Hessen positionieren sich zur zerbrochenen Koalition / Und eine Ex-Bundesministerin tritt nach";1;-1;0;;-1;-1;-1;-1;;;;;;;;0;0;0;0;0;0;0
95;96;167;"Wie es nach dem Ampel-Aus weitergeht; Bundesregierung Die Koalition aus SPD, Grünen und FDP ist geplatzt. Was passiert bis zu den Neuwahlen, wie funktioniert die Vertrauensfrage und wer übernimmt die Posten der ausscheidenden Minister? Die wichtigsten Fragen und Antworten im Überblick";1;0;0;;0;-1;-1;-1;0;;;;;;;1;0;0;0;0;0;0
96;97;168;Zum Ampel-Aus:  Keine wertvolle Zeit verschenken;1;-1;-1;;-1;-1;-1;-1;-1;-1;;;-1;-1;-1;1;1;0;0;1;1;1
97;98;169;Nach Ampel-Aus und Trump-Sieg;1;;;;;;;;;;;0;;;-1;0;0;0;-1;0;0;-1
98;99;170;Ampel-Aus gefährdet Deutsche-Bahn-Sanierung;1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;0;0;0;0;0;0;0
99;100;172;"Der Reformbedarf bleibt; Gesundheitsminister Karl Lauterbach wollte noch diverse Reformen durchbringen. Doch das hat sich mit dem Ampel-Aus erledigt. Sein umstrittenstes Projekt jedoch könnte bald in Kraft treten.";1;;-1;;;-1;-1;-1;;;;;-1;-1;-1;0;0;0;0;1;1;1
100;101;174;"Ampel-Aus: Zwischen Wut und Trauer; Ministerpräsidenten und Parteispitzen aus Hessen und Rheinland-Pfalz positionieren sich zur zerbrochenen Koalition / Und eine Ex-Bundesministerin tritt nach";1;-1;0;;-1;-1;-1;-1;;;;;;;;0;0;0;0;0;0;0
101;102;177;"Ampel-Aus: ""Richtiger Schritt""; Wie bewerten die südhessischen Bundestagsabgeordneten das Ende der Regierungskoalition?";1;1;1;;1;-1;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;1;1
102;103;194;Nach Ampel-Aus: Baubeginn 2025 steht infrage;1;;;;;;;-1;;;;;;;-1;0;0;0;0;0;0;1
103;104;197;"Die FDP steht am Pranger; Ampel-Aus Der Bruch der Koalition und der Kampf um die Deutungshoheit   Was die Parteispitze sagt";1;1;1;;1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;1;1;1
104;105;198;Wirtschaft fordert nach Ampel-Aus raschen Neuanfang;1;0;0;;0;-1;-1;0;;;;;-1;-1;-1;0;0;0;0;1;1;-1
105;106;199;"Deutschland-Ticket vorerst gerettet; Um das Deutschland- Ticket gibt es nach dem Ampel-Aus großen Streit. Nun herrscht Klarheit für 2025   und Ungewissheit danach";1;-1;-1;;;0;0;-1;-1;0;;;;;-1;1;-1;0;0;0;0;1
106;107;200;"„Ampel-Aus ist gefährlich für Patienten“; Der Bundesgesundheitsminister spricht über die Krankenhausreform und die Gründe, warum er der SPD mit Olaf Scholz Siegchancen bei der Wahl zurechnet.";1;1;1;;1;-1;-1;-1;1;1;;;0;0;-1;1;1;0;0;-1;-1;1
107;108;1;"""Ungewöhnlich starker Zulauf""; Vier Parteien in Hessen verzeichnen jede Menge neue Mitglieder seit dem Bruch der Berliner Ampel";1;;;;;;;;;;;;;;;0;0;0;0;0;0;0
108;109;2;Ein Besuch Berlins in besonderen Zeiten;1;;;;;;;;;;;;;;0;0;0;0;0;0;0;-1
109;110;11;"Klare Worte zum Ampel-Aus; Bundestagsabgeordnete aus dem Landkreis Bad Kreuznach begrüßen Ende der Berliner Koalition";1;-1;0;;;-1;-1;-1;0;;;;;;;-1;0;0;0;0;0;0
110;111;12;"""Neuwahlen noch vor März""; Nach Ampel-Aus: Forderungen der IHK / Steht die rheinhessische Kammer hinter der FDP?";1;;;;;;;;;;;;;;;0;0;0;0;0;0;0
111;112;14;"Brandenburg geht, Höppner bleibt; FDP-Staatssekretäre aus Rheinland-Pfalz trifft Ampel-Aus im Bund unterschiedlich - eine Ursachenforschung";1;;;;;-1;-1;-1;;;;;;;;0;0;0;0;0;0;0
112;113;16;"Bundestagswahl ist für 23. Februar geplant; Ampel-Aus Zuvor will Bundeskanzler Scholz am 16. Dezember die Vertrauensfrage stellen";1;-1;-1;;;-1;-1;-1;0;;;;;;;-1;0;0;0;0;0;0
113;114;17;"Ist die Stunde des Parlaments ; Interview Linken-Politiker Gregor Gysi über Ampel-Aus, Neuwahl und Migration";1;-1;0;;0;-1;-1;-1;;;;;;;-1;0;0;0;0;0;0;1
114;115;18;",,D-Day""-Desaster bei der FDP";1;;;;;-1;-1;;;;;;-1;-1;-1;0;0;0;0;1;1;-1
115;116;19;"Musikalischer Abgang mit MB; Ex-Minister Marco Buschmann schreibt ein Lied auf das Ampel-Aus. Nun ja.";1;;;;;0;0;;;;;;;;;0;0;0;0;0;0;0
116;117;22;"Wie Trumps Sieg und das Ampel-Aus bewegen; In den USA ist die Präsidentschaftswahl entschieden, in Berlin bricht die Koalition:Zwei Reporter teilen ihre Sichtweisen zur aktuellen Lage und erklären, wie sie sie bewältigen.";1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;0;0;0;0;0;0;0
117;118;24;"Rentenpaket II in Gefahr; Nach dem Ampel-Aus schwinden die Chancen für eine Verabschiedung der Reform im Bundestag";1;-1;-1;;;-1;-1;-1;-1;-1;;;-1;-1;-1;1;1;0;0;1;1;1
118;119;27;"»Lässt jeglichen politischen Stil vermissen«; CSU-Landesgruppenchef Alexander Dobrindt übt nach dem Ampel-Aus deutliche Kritik.";1;-1;-1;;;-1;-1;-1;-1;-1;;;-1;-1;-1;1;1;0;0;1;1;1
119;120;36;"Unwillen zur Verantwortung; Kommentar";1;1;0;;;-1;-1;0;;;;;;;;0;0;0;0;0;0;0
120;121;37;"Tangiert Ampel-Aus Klinikreform?; Krankenhäuser Landrat Heiner Scheffold hält es für wahrscheinlich, dass Gesetz in bisheriger Form umgesetzt wird.";1;;;;;;;-1;;;;;;;-1;0;0;0;0;0;0;1
121;122;38;"Gesetze in letzter Minute?; Trotz Ampel-Aus wollen die Abgeordneten von SPD und Grünen gerne noch einige Vorhaben durch den Bundestag bringen.";1;;;;;;;0;;;;;;;;0;0;0;0;0;0;0
122;123;43;Was der Verzicht von Pistorius auf die Kanzler-Kandidatur bedeutet;1;-1;-1;;;;;-1;0;;;;;;;-1;0;0;0;0;0;0
123;124;45;"Gerüstet für den Winter-Wahlkampf; Vorgezogene Bundestagswahl verlangt schnelles Handeln / Wie die Alzeyer Parteien aufgestellt sind";1;;0;;1;;1;-1;;;;;;;;0;0;0;0;0;0;0
124;125;49;"Die Angst vor dem Abstieg geht um; Hessische FDP hat inhaltlich und personell einen Kurswechsel vollzogen / Rechnung scheint aber nicht aufzugehen";1;;;;0;-1;-1;-1;;;;;1;-1;;0;0;0;0;-1;1;0
125;126;58;"Andrang bei den Chemnitzer ,,Ampelparteien""";1;-1;1;;1;-1;1;-1;;1;;1;;1;-1;0;1;0;1;0;1;1
126;127;59;"SPD hofft auf Scholz gegen Merz; Nach dem Ampel-Aus bereiten sich die Parteien auf vorgezogene Neuwahlen vor";1;0;0;0;0;-1;-1;0;-1;-1;0;0;0;-1;-1;-1;-1;1;1;-1;1;-1
127;128;60;"Ampel-Aus verschiebt Sozialreformen; Lauterbach kündigt eine Erhöhung der Beitragssätze an: Kranken- und Pflegeversicherung werden 2025 deutlich teurer";1;-1;-1;;;-1;-1;-1;;-1;;;-1;-1;-1;0;1;0;0;1;1;1
128;129;61;"Der deutschen Wirtschaft fehlt es an Kraft ; Ifo-Index fällt wieder. Stimmung trübt sich ein";1;;;;;;;;;;;;;;0;0;0;0;0;0;0;-1
129;130;62;"""Längst überfällig""; Das Ende der Regierungskoalition in Berlin beschäftigt auch die Menschen in der Landeshauptstadt";1;1;1;;;-1;-1;-1;0;;;;;;;-1;0;0;0;0;0;0
130;131;63;Ricarda Lang: Nach Ampel-Bruch: Ex-Grünen-Chefin verspottet FDP;1;;;;;;;;;;;;;-1;-1;0;0;0;0;0;-1;-1
131;132;65;"Welche Projekte Scholz noch durchbringen will; Steuerentlastungen, Rentenpaket, Asyl, Industrie: Trotz Ampel-Aus will der Kanzler noch wichtige Pläne umsetzen";1;1;1;;;-1;-1;-1;0;;;;;;;-1;0;0;0;0;0;0
132;133;68;"US-Wahl, Ampel-Aus und Entbürokratisierung; Zahlreiche Themen bei Mittelstands- und Wirtschaftsunion / Staatsminister Pentz kann nicht wie geplant dabei sein";1;;;;;;;-1;;;;;;;-1;0;0;0;0;0;0;1
133;134;69;"Große Sorgen nach Ampel-Aus; Spitzensportförderung sollte erstmals im Gesetz verankert werden / Lage in Berlin beunruhigt Verbände und Athleten";1;-1;-1;;;-1;-1;-1;;;;;;;-1;0;0;0;0;0;0;1
134;135;70;"Die Schulen hoffen auf Özdemir; Mit dem Ampel-Aus steht auch der Digitalpakt 2.0 in Frage   und damit eine bessere IT-Ausstattung an den Schulen. Eine neue Studie zeigt, wie groß der Handlungsbedarf ist. Zumindest die Bundesländer haben die Hoffnung auf eine Einigung noch nicht aufgegeben";1;;;;;;;;;;;;;-1;;0;0;0;0;0;-1;0
