"ID","Article.File.Name","Article_Number","Article_Name","Summary_Consistency","Article_Olaf_Scholz","Article_SPD","Article_Robert_Habeck","Article_die_Gruenen","Article_Christian_Lindner","Article_FDP","Article_the_coalition_breakdown","Summary_Olaf_Scholz","Summary_SPD","Summary_Robert_Habeck","Summary_die_Gruenen","Summary_Christian_Lindner","Summary_FDP","Summary_the_coalition_breakdown","diff_scholz","diff_spd","diff_habeck","diff_gruene","diff_lindner","diff_fdp","diff_coalition"
60,"articles_newspapers_processed.json",76,"German coalition government collapses, early election expected in March",1,-1,0,0,0,-1,-1,-1,0,0,0,0,-1,-1,-1,0,1,1,1,1,1,1
61,"articles_newspapers_processed.json",77,"PM announces 100MW power supply, Rs1 billion endowment fund for GB",1,,,,,-1,-1,-1,,,,,,,,1,1,1,1,0,0,0
62,"articles_newspapers_processed.json",78,"Security jitters as cloud hangs over US support for Ukraine, Nato",1,,,,,-1,-1,-1,,,,,,,-1,1,1,1,1,0,0,1
63,"articles_newspapers_processed.json",79,"She Was the Most Powerful Woman in the World. And She Isn't Ready to Say Sorry.; Guest Essay",1,,,,,-1,-1,-1,,,,,,,,1,1,1,1,0,0,0
64,"articles_newspapers_processed.json",80,"The Greatest Comeback",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
65,"articles_newspapers_processed.json",81,"Senator Sherry calls for internationally determined contributions at COP29",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
66,"articles_newspapers_processed.json",82,"IIOJK Election 2024",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
67,"articles_newspapers_processed.json",83,"Merkel Isn't Ready to Say Sorry",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
68,"articles_newspapers_processed.json",84,"She Was the Most Powerful Woman in the World. And She Isn't Ready to Say Sorry.",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
69,"articles_newspapers_processed.json",85,"Germany to hold new elections on February 23",1,-1,-1,,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,1,1,1,0,1,1,1
70,"articles_newspapers_processed.json",86,"German investor confidence worsens in the face of Trump's victory and political crisis in Germany",1,,,,,,,,,,,,,,,1,1,1,1,1,1,1
71,"articles_newspapers_processed.json",87,"What to do in the face of the trumpist calamity",1,1,1,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,0
72,"articles_newspapers_processed.json",88,"It is high time to take to streets, PTI reacts to alleged abductions",1,,,,,0,0,0,,,,,,,,1,1,1,1,0,0,0
73,"articles_newspapers_processed.json",90,"She Was the Most Powerful Woman in the World. And She Isn’t Ready to Say Sorry.; Guest Essay",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
74,"articles_newspapers_processed.json",91,"We need a new start-up era; The US election has serious consequences for Germany, warns economist Markus Brunnermeier. It is high time for a change in mentality",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
75,"articles_newspapers_processed.json",92,"We need a new start-up era; The US election has serious consequences for Germany, warns economist Markus Brunnermeier. It is high time for a change in mentality",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
76,"articles_newspapers_processed.json",93,"Brussels anxiously seeks clues about Trump intentions",1,,,,,,,-1,,,,,,,-1,1,1,1,1,1,1,1
77,"articles_newspapers_processed.json",94,"Shift in global balance of power raises hope for lasting peace",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
78,"articles_newspapers_processed.json",95,"Investor confidence in Germany falls in November",1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,0,0,0,0,0,0,0
79,"articles_newspapers_processed.json",96,"Eurozone ZEW economic sentiment falls in November due to Trump victory",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
80,"articles_newspapers_processed.json",97,"Euro zone yields drop amid investor fears",1,,,,,,,,,,,,,,,1,1,1,1,1,1,1
81,"articles_newspapers_processed.json",98,"Olaf Scholz addresses Bundestag",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,1,1,0,0,1,1,1
82,"articles_newspapers_processed.json",99,"Olaf Scholz attends Minister of Education and Research appointment",1,-1,-1,,,-1,-1,-1,0,0,,,,,,0,0,1,1,0,0,0
83,"articles_newspapers_processed.json",100,"Angela Merkel exclusive: Donald Trump, Vladimir Putin and me",1,-1,-1,,,-1,-1,-1,,,,,,,,0,0,1,1,0,0,0
84,"articles_newspapers_processed.json",101,"Trump's win should be a reality check for our leaders",1,,,,,0,0,-1,,,,,,,,1,1,1,1,0,0,0
85,"articles_newspapers_processed.json",102,"Letters: Trump's win should be a reality check for our leaders",1,,,,,,,0,,,,,,,,1,1,1,1,1,1,0
86,"articles_newspapers_processed.json",103,"Stay www.firm.Be however you are as a person. And especially don't be afraid. Don't be afraid""; Angela Merkel on Putin, Brexit, her childhood in East Germany ? and how to deal with Donald Trump",1,-1,-1,,,,,-1,,,,,,,,0,0,1,1,1,1,0
87,"articles_newspapers_processed.json",104,"Keir Starmer joins European leaders as they come to terms with Donald Trump's return to the White House - but PM suffers blow in quest for action on illegal migration as government of German ally Scholz collapses",1,-1,-1,,,,,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,1
88,"articles_newspapers_processed.json",105,"USA - Still a Land of Opportunities",1,,,,,-1,-1,-1,,,,,,,,1,1,1,1,0,0,0
89,"articles_newspapers_processed.json",106,"Political collapse in the Franco-German axis sends the EU into a tailspin",1,-1,-1,,,,,-1,,,,,,,,0,0,1,1,1,1,0
90,"articles_newspapers_processed.json",107,"Europe finally faces up to migrant crisis: Germany looks set to vote in anti-migrant chancellor, France blames soft UK for Channel crossings, Ireland faces homeless crisis... while hard-right Meloni HAS tackled the problem",1,-1,-1,,,0,0,-1,,,,,,,,0,0,1,1,0,0,0
91,"articles_newspapers_processed.json",108,"US, Germany to stick with Philippines in South China Sea despite political shake-ups",1,,,,,-1,-1,-1,,,,,,,,1,1,1,1,0,0,0
92,"articles_newspapers_processed.json",109,"Even before Trump and his tariffs, Europe is in trouble",1,-1,0,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,1,0,0,0,1,1,1
93,"articles_newspapers_processed.json",110,"Scholz government collapses and Germany heads for early elections",1,0,0,,,,,,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0
94,"articles_newspapers_processed.json",111,"HUNGARY: GERMAN COMPANIES WORRY ABOUT GROWING COSTS AND DECREASING CONSUMPTION",1,,,,,,,,,,,,,,,1,1,1,1,1,1,1
95,"articles_newspapers_processed.json",112,"Berlin in crosshairs",1,-1,,,,0,0,-1,,,,,,,,0,1,1,1,0,0,0
96,"articles_newspapers_processed.json",113,"Conservative opposition leader insists on confidence vote for Scholz on Wednesday",1,-1,-1,,-1,,-1,-1,-1,-1,,,,,-1,1,1,1,0,1,0,1
97,"articles_newspapers_processed.json",114,"Oil prices slump as Trump vows to ‘drill, baby, drill’",1,-1,,,,0,,-1,,,,,,,,0,1,1,1,0,1,0
98,"articles_newspapers_processed.json",115,"Almost £1.5bn wiped off shops and pubs as jobs tax raid looms",1,-1,,,,-1,-1,-1,,,,,,,,0,1,1,1,0,0,0
99,"articles_newspapers_processed.json",116,"China's tariff troubles pale beside Germany's economic woes",1,-1,0,,0,,,-1,,,,,,,,0,0,1,0,1,1,0
100,"articles_newspapers_processed.json",117,"Wednesday briefing: How fan violence became a political football",1,,,,1,,,-1,,,,,,,,1,1,1,0,1,1,0
101,"articles_newspapers_processed.json",118,"Germany's coalition government crumbles and Chancellor Scholz plans to govern in minority",1,1,1,1,1,-1,-1,-1,0,1,,,,,,0,1,0,0,0,0,0
102,"articles_newspapers_processed.json",119,"Europe’s economic problems compounded by lack of strong leadership",1,,,,,,,,,,,,,,,1,1,1,1,1,1,1
103,"articles_newspapers_processed.json",120,"COP or Flop - What is Next for Climate Diplomacy",1,-1,-1,0,1,-1,-1,-1,,,,,,,,0,0,0,0,0,0,0
104,"articles_newspapers_processed.json",121,"National can be relieved at latest poll",1,-1,-1,,0,,,-1,,,,,,,,0,0,1,0,1,1,0
105,"articles_newspapers_processed.json",122,"Luxon can be relieved at latest poll",1,-1,-1,,0,,,-1,,,,,,,,0,0,1,0,1,1,0
106,"articles_newspapers_processed.json",123,"Joe Biden wants to give Donald Trump a world at open global war",1,-1,,,,,,-1,-1,-1,,,,,-1,1,0,1,1,1,1,1
107,"articles_newspapers_processed.json",124,"Euro trashed - even before Trump's tariffs; Comment",1,-1,0,0,0,1,1,-1,,,,,,,,0,0,0,0,0,0,0
108,"articles_newspapers_processed.json",126,"Germany's leader expected to lead country with minority government after coalition collapse",1,1,0,,,-1,-1,-1,1,1,,,-1,-1,-1,1,0,1,1,1,1,1
109,"articles_newspapers_processed.json",127,"EU to try to convince Trump to support Ukraine and not to engage in a trade war",1,,,,,-1,-1,-1,,,,,,,,1,1,1,1,0,0,0
110,"articles_newspapers_processed.json",128,"Foreign challenges will test new administration",1,-1,,,,,,-1,,,,,,,,0,1,1,1,1,1,0
111,"articles_newspapers_processed.json",129,"Change of elevation, by Enric Juliana",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
112,"articles_newspapers_processed.json",130,"Germany coalition collapses after Scholz fires key minister",1,1,1,0,1,-1,-1,-1,0,1,,,,,,0,1,0,0,0,0,0
113,"articles_newspapers_processed.json",131,"Germany marks 35 yrs since fall of wall",1,-1,-1,,,,,-1,-1,-1,,,,,-1,1,1,1,1,1,1,1
114,"articles_newspapers_processed.json",132,"Europe prepares for the Trump era and Orban bets on gaining prominence",1,-1,,,,,,-1,,,,,,,,0,1,1,1,1,1,0
115,"articles_newspapers_processed.json",133,"Activists look to Britain for climate leadership as Trump's win casts long shadow over crucial UN talks",1,-1,,,0,,,-1,,,,,,,,0,1,1,0,1,1,0
116,"articles_newspapers_processed.json",134,"'Whether Trump wants to jump on board or not, the climate train is moving'; Cop29 activists look to Britain for summit leadership in Baku as US election outcome casts a long shadow over crucial talks",1,-1,,,0,,,-1,,,,,,,,0,1,1,0,1,1,0
117,"articles_newspapers_processed.json",135,"Activists look to Britain for climate leadership as Trump's win casts long shadow over crucial UN talks",1,-1,,,0,,,-1,,,,,,,,0,1,1,0,1,1,0
118,"articles_newswires_processed.json",1,"German government coalition collapses; early elections expected by end of March 2025",1,-1,0,0,0,-1,-1,-1,0,0,,,,,,0,1,0,0,0,0,0
119,"articles_newswires_processed.json",2,"Senior figure with Scholz's ex-allies quits over 'D-Day' paper on German government collapse",1,0,0,,0,-1,-1,-1,0,0,,,-1,-1,-1,1,1,1,0,1,1,1
120,"articles_newswires_processed.json",3,"Senior figure with Scholz's ex-allies quits over 'D-Day' paper on German government collapse",1,0,0,,,,,,0,0,,,,,,1,1,1,1,1,1,1
121,"articles_newswires_processed.json",5,"Coalition collapse leaves German government without US coordinator",1,-1,-1,,,-1,-1,-1,-1,,,,-1,0,-1,1,0,1,1,1,0,1
122,"articles_newswires_processed.json",7,"Coalition collapse leaves German government without US coordinator",1,-1,-1,,,-1,-1,-1,-1,-1,,,-1,-1,-1,1,1,1,1,1,1,1
123,"articles_newswires_processed.json",8,"350.Org Reacts: Germany Faces Snap Election After Climate-Delaying Finance Minister is Sacked",1,1,1,,1,-1,-1,-1,0,1,,,,,,0,1,1,0,0,0,0
124,"articles_newswires_processed.json",9,"German government on brink of collapse as Scholz sacks 'small-minded' finance minister after furious tirade",1,-1,0,1,1,-1,-1,-1,0,1,1,1,-1,-1,-1,0,0,1,1,1,1,1
125,"articles_newswires_processed.json",10,"German ZEW Economic Confidence Deteriorates",0,,,,,,,,,,,,,,,1,1,1,1,1,1,1
126,"articles_newswires_processed.json",11,"Germany to issue more professional visas in 2024 to fill its 1.34 million job vacancies: Report",1,,,,0,,,-1,,,,,,,-1,1,1,1,0,1,1,1
127,"articles_newswires_processed.json",12,"Dollar slips, handing back gains ahead of Fed meeting",1,0,0,,,-1,-1,-1,0,0,,0,,0,-1,1,1,1,0,0,0,1
128,"articles_newswires_processed.json",17,"European Shares Slide As China Approves $838bn Debt Swap",1,-1,,,,,,-1,,,,,,,,0,1,1,1,1,1,0
129,"articles_newswires_processed.json",18,"Mike Amesbury MP charged with assault after 'man punched in street'",1,-1,0,,,-1,-1,-1,,,,,,,,0,0,1,1,0,0,0
130,"articles_newswires_processed.json",19,"DAX Index Plunges on Bayer Drag; German Economic Sentiment Tumbles",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
131,"articles_newswires_processed.json",20,"Germany's 2030 electric car target to fall short, projection shows",1,,,,,,,,,,,,,,,1,1,1,1,1,1,1
132,"articles_newswires_processed.json",21,"Germany's 2030 electric car target to fall short, projection shows",1,,,,,,,,,,,,,,,1,1,1,1,1,1,1
133,"articles_newswires_processed.json",22,"-Morningstar DBRS Comments on UniCredit's Public Tender Offer for Banco BPM",1,,,,,,,-1,,,,,,,-1,1,1,1,1,1,1,1
134,"articles_newswires_processed.json",23,"Elon Musk makes bold prediction about Canadian PM Justin Trudeau's future, says he will be gone in upcoming election",1,-1,-1,,,,,-1,-1,-1,,,,,-1,1,1,1,1,1,1,1
135,"articles_newswires_processed.json",24,"ING Comments on Euro, Sterling, Poland's Zloty, Czech Republic's Koruna",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
136,"articles_newswires_processed.json",27,"Oxford University student was 'cancelled' before suicide, inquest hears",1,-1,,,,-1,,-1,,,,,,,,0,1,1,1,0,1,0
137,"articles_newswires_processed.json",28,"Europe's economic powerhouse is imploding... and it leaves Britain DANGEROUSLY exposed - Stephen Pound",1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,0,0,0,0,0,0,0
138,"articles_newswires_processed.json",29,"Germany's bumpy road to a snap election",1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,1,1,1,1,1,1,1
139,"articles_newswires_processed.json",30,"Stock markets waver after US election rally, rate cut",0,,,,,,,-1,,,,,,,-1,1,1,1,1,1,1,1
140,"articles_newswires_processed.json",31,"Stock markets mixed after US election rally, rate cut",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
141,"articles_newswires_processed.json",32,"US stocks hit fresh records as European bourses retreat",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
142,"articles_newswires_processed.json",33,"European Stocks Tumble On Economic, Geopolitical Concerns",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
143,"articles_newswires_processed.json",34,"After Trump win, Orban basks in hosting European leaders",1,,,,,-1,-1,-1,,,,,,,,1,1,1,1,0,0,0
144,"articles_newswires_processed.json",35,"Olaf Scholz makes statement on current German Bundestag situation after government collapse",1,0,0,0,0,-1,-1,-1,0,0,,,,,,1,1,0,0,0,0,0
145,"articles_newswires_processed.json",36,"MARKET ANALYSIS: U.S. Stocks May Lack Direction Following Recent Strength",1,-1,,,,,,-1,,,,,,,,0,1,1,1,1,1,0
146,"articles_newswires_processed.json",37,"The Week in Pictures: November 8-15, 2024",1,,,,,,,,,,,,,,-1,1,1,1,1,1,1,0
147,"articles_newswires_processed.json",38,"Sales in Western Europe set to decline in 2024 - GlobalData",1,,,,,,,-1,,,,,,,-1,1,1,1,1,1,1,1
148,"articles_newswires_processed.json",39,"NATO chief backs Germany to meet defence obligations",1,1,,,,,,,1,,,,,,,1,1,1,1,1,1,1
149,"articles_newswires_processed.json",40,"NATO chief backs Germany to meet defence obligations",1,1,,,,,,,1,,,,,,,1,1,1,1,1,1,1
150,"articles_newswires_processed.json",41,"Europe's economy needs help. Political chaos in France and Germany means it may be slower in coming",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1
151,"articles_newswires_processed.json",43,"Europe's economy needs help. Political chaos in France and Germany means it may be slower in coming",1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,0,0,0,0,0,0,0
152,"articles_newswires_processed.json",45,"Germany's Habeck says he regrets collapse of coalition government",1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,1,1,1,1,1,1,1
153,"articles_newswires_processed.json",46,"Olaf Scholz addresses Bundestag",1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,1,1,1
154,"articles_newswires_processed.json",47,"Olaf Scholz attends Minister of Education and Research appointment",1,-1,-1,,,-1,-1,-1,-1,-1,,,-1,-1,-1,1,1,1,1,1,1,1
155,"articles_newswires_processed.json",48,"CAC 40 Edges Lower As Investors React To China's Stimulus Announcement",1,,,,,,,,,,,,,,,1,1,1,1,1,1,1
156,"articles_newswires_processed.json",49,"Germany's Habeck says he regrets collapse of coalition government",1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,1,1,1,1,1,1,1
157,"articles_newswires_processed.json",50,"Germany's Habeck says he regrets collapse of coalition government",1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,1,1,1,1,1,1,1
158,"articles_newswires_processed.json",51,"German lesbian couple lose adoption case before European rights court",1,,,,,,,,,,,,,,,1,1,1,1,1,1,1
159,"articles_newswires_processed.json",52,"PM Orbán: Hungary must continue to pursue a sober kind of politics",1,,,,,1,1,-1,,,,,,,,1,1,1,1,0,0,0
160,"articles_newswires_processed.json",53,"November in review",1,,,,,,,,,,,,,,,1,1,1,1,1,1,1
161,"articles_newswires_processed.json",54,"Musk rails against judges in Italy migrant row",1,-1,,,,,,-1,-1,,,,,,,1,1,1,1,1,1,0
